时间,冷机3总有功功率,冷机4总有功功率,室外湿球温度,冷机3蒸发器压力,冷机3冷冻水出水温度,冷机3冷凝器小温差,冷机3蒸发器小温差,冷机4蒸发器压力,冷机4冷冻水出水温度,冷机4冷凝器小温差,冷机4蒸发器小温差
2025-07-20 01:35,0.36,0.0,24.54,462.1,17.3,-9.8,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 01:40,0.36,0.36,23.16,462.1,17.3,-9.8,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 01:45,0.36,0.36,23.8,462.1,17.3,-9.8,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 01:50,0.36,0.36,25.0,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 01:55,0.36,0.36,24.43,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 02:00,0.36,0.0,25.19,462.1,17.3,-9.8,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 02:05,0.36,0.36,25.15,462.1,17.2,-9.8,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 02:10,0.36,0.0,24.83,462.1,17.3,-9.8,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 02:15,0.36,0.36,24.82,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 02:20,0.36,0.36,24.31,462.1,17.2,-9.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 02:25,0.36,0.36,24.19,462.1,17.2,-9.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 02:30,0.36,0.36,24.21,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 02:35,0.36,0.36,24.03,462.1,17.2,-9.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 02:40,0.36,0.0,23.15,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 02:45,0.36,0.36,24.95,462.1,17.3,-9.9,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 02:50,0.36,0.36,24.92,462.1,17.3,-9.9,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 02:55,0.36,0.36,23.92,462.1,17.3,-9.9,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 03:00,0.36,0.36,24.57,462.1,17.3,-9.9,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 03:05,0.36,0.36,23.9,462.1,17.2,-9.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 03:10,0.36,0.36,24.29,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 03:15,0.36,0.36,23.7,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 03:20,0.36,0.36,23.56,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 03:25,0.36,0.0,24.37,462.1,17.2,-9.9,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 03:30,0.36,0.36,24.85,462.1,17.3,-9.9,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 03:35,0.36,0.36,24.03,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 03:40,0.36,0.36,24.02,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 03:45,0.36,0.36,23.87,462.1,17.3,-9.8,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 03:50,0.36,0.36,22.59,462.1,17.1,-9.8,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 03:55,0.36,0.36,24.58,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 04:00,0.36,0.36,23.47,462.1,17.2,-9.8,-2.3,462.1,17.6,-5.0,-1.9
2025-07-20 04:05,0.36,0.36,23.43,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 04:10,0.36,0.36,24.41,462.1,17.2,-9.8,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 04:15,0.36,0.36,24.23,462.1,17.2,-9.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 04:20,0.36,0.36,23.96,462.1,17.2,-9.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 04:25,0.36,0.36,24.06,462.1,17.1,-9.7,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 04:30,0.36,0.0,22.5,462.1,17.2,-9.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 04:35,0.36,0.36,24.04,462.1,17.2,-9.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 04:40,0.36,0.36,23.68,462.1,17.3,-9.7,-2.2,461.4,17.6,-5.0,-1.9
2025-07-20 04:45,0.36,0.36,23.26,462.1,17.2,-9.7,-2.3,461.4,17.6,-5.0,-1.9
2025-07-20 04:50,0.36,0.36,23.26,462.1,17.2,-9.7,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 04:55,0.36,0.36,23.46,462.1,17.2,-9.7,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:00,0.36,0.36,22.97,462.1,17.2,-9.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:05,0.36,0.36,23.76,462.1,17.2,-9.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:10,0.36,0.36,21.9,462.1,17.2,-9.6,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 05:15,0.36,0.36,23.31,462.1,17.2,-9.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:20,0.36,0.36,24.52,462.1,17.2,-9.6,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 05:25,0.36,0.36,23.39,462.1,17.2,-9.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:30,0.36,0.36,23.19,462.1,17.2,-9.6,-2.3,462.1,17.8,-5.1,-1.7
2025-07-20 05:35,0.36,0.36,22.88,462.1,17.2,-9.5,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:40,0.36,0.36,22.15,462.1,17.3,-9.5,-2.2,461.4,17.8,-5.0,-1.7
2025-07-20 05:45,0.36,0.36,21.72,462.1,17.2,-9.5,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 05:50,0.36,0.36,21.83,462.1,17.2,-9.4,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 05:55,0.36,0.36,22.52,462.1,17.2,-9.4,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:00,0.36,0.36,22.94,462.1,17.2,-9.4,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:05,0.36,0.36,22.89,462.1,17.1,-9.4,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 06:10,0.36,0.36,23.31,462.1,17.2,-9.4,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:15,0.36,0.36,22.14,462.1,17.2,-9.4,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 06:20,0.36,0.36,22.36,462.1,17.2,-9.3,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 06:25,0.36,0.36,22.4,462.1,17.2,-9.3,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:30,0.36,0.36,22.95,462.1,17.2,-9.3,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:35,0.36,0.36,23.0,462.1,17.2,-9.3,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:40,0.36,0.36,22.14,462.1,17.2,-9.2,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:45,0.36,0.36,22.54,462.1,17.2,-9.2,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:50,0.36,0.36,23.18,462.1,17.2,-9.2,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 06:55,0.36,0.36,22.71,462.1,17.3,-9.2,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 07:00,0.36,0.36,22.55,462.1,17.2,-9.2,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:05,0.36,0.36,23.32,462.1,17.2,-9.1,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:10,0.36,0.36,22.39,462.1,17.2,-9.1,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 07:15,0.36,0.36,23.07,462.1,17.1,-9.1,-2.4,462.1,17.8,-5.0,-1.7
2025-07-20 07:20,0.36,0.36,23.76,462.1,17.2,-9.1,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:25,0.36,0.36,23.18,462.1,17.2,-9.1,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:30,0.36,0.48,23.73,462.1,17.2,-9.0,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:35,0.36,0.36,23.98,462.1,17.1,-9.0,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 07:40,0.36,0.36,23.44,462.1,17.2,-8.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:45,0.36,0.36,23.52,462.1,17.2,-8.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:50,0.36,0.36,23.56,462.1,17.2,-9.0,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 07:55,0.36,0.36,22.29,462.1,17.3,-8.8,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 08:00,0.36,0.36,23.01,462.1,17.2,-8.9,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 08:05,0.36,0.36,23.48,462.1,17.2,-8.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 08:10,0.36,0.36,22.26,462.1,17.2,-8.8,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 08:15,0.36,0.0,23.11,462.1,17.2,-8.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 08:20,0.36,0.36,22.88,462.1,17.2,-8.8,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 08:25,0.36,0.36,22.52,462.1,17.2,-8.8,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 08:30,0.36,0.36,23.44,462.1,17.2,-8.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 08:35,0.36,0.36,22.97,462.1,17.2,-8.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 08:40,0.36,0.36,22.48,462.1,17.1,-8.7,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 08:45,0.36,0.36,23.9,462.1,17.2,-8.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 08:50,0.36,0.36,23.42,462.1,17.2,-8.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 08:55,0.36,0.36,23.29,462.1,17.2,-8.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 09:00,0.36,0.36,22.71,462.1,17.1,-8.7,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 09:05,0.36,0.36,22.87,461.4,17.1,-8.7,-2.4,462.1,17.7,-5.0,-1.8
2025-07-20 09:10,0.36,0.36,23.58,461.4,17.2,-8.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 09:15,0.36,0.36,23.45,461.4,17.2,-8.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 09:20,0.36,0.36,23.55,461.4,17.2,-8.7,-2.3,461.4,17.6,-5.0,-1.9
2025-07-20 09:25,0.36,0.36,23.66,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 09:30,0.36,0.36,23.31,461.4,17.1,-8.6,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 09:35,0.36,0.36,24.05,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 09:40,0.36,0.36,23.62,461.4,17.1,-8.7,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 09:45,0.36,0.0,23.69,461.4,17.1,-8.7,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 09:50,0.36,0.36,23.87,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 09:55,0.36,0.36,23.84,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 10:00,0.36,0.36,23.85,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 10:05,0.36,0.0,24.19,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 10:10,0.36,0.36,23.25,461.4,17.3,-8.6,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 10:15,0.36,0.36,23.74,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 10:20,0.36,0.36,23.96,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 10:25,0.36,0.36,23.28,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 10:30,0.36,0.36,23.73,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 10:35,0.36,0.36,23.32,461.4,17.3,-8.6,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 10:40,0.36,0.36,23.74,461.4,17.3,-8.6,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 10:45,0.36,0.36,23.06,461.4,17.3,-8.6,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 10:50,0.36,0.36,23.44,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 10:55,0.36,0.36,24.31,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 11:00,0.36,0.36,23.49,461.4,17.3,-8.6,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 11:05,0.36,0.36,23.26,461.4,17.3,-8.6,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 11:10,0.36,0.36,24.46,461.4,17.2,-8.6,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 11:15,0.24,0.36,22.85,461.4,17.2,-8.6,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 11:20,0.36,0.36,22.37,461.4,17.2,-8.5,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 11:25,0.36,0.36,23.32,461.4,17.1,-8.6,-2.4,461.4,17.7,-5.0,-1.8
2025-07-20 11:30,0.36,0.36,23.46,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 11:35,0.36,0.36,23.23,461.4,17.2,-8.6,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 11:40,0.36,0.36,22.83,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 11:45,0.36,0.36,23.73,461.4,17.2,-8.7,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 11:50,0.36,0.36,23.07,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 11:55,0.36,0.36,23.71,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 12:00,0.36,0.36,23.64,461.4,17.2,-8.7,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 12:05,0.36,0.36,21.31,461.4,17.2,-8.7,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 12:10,0.36,0.36,23.08,461.4,17.3,-8.7,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 12:15,0.36,0.36,23.33,461.4,17.2,-8.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 12:20,0.36,0.36,23.44,461.4,17.2,-8.7,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 12:25,0.36,0.0,22.92,461.4,17.2,-8.8,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 12:30,0.36,0.36,23.48,461.4,17.2,-8.8,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 12:35,0.36,0.0,23.36,461.4,17.2,-8.8,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 12:40,0.36,0.36,23.71,461.4,17.2,-8.8,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 12:45,0.36,0.0,24.6,461.4,17.2,-8.8,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 12:50,0.36,0.36,23.13,461.4,17.2,-8.8,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 12:55,0.36,0.36,22.99,461.4,17.2,-8.8,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 13:00,0.36,0.36,22.92,461.4,17.2,-8.8,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 13:05,0.36,0.36,22.33,461.4,17.2,-8.9,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 13:10,0.36,0.36,23.04,461.4,17.2,-8.9,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 13:15,0.36,0.36,21.78,461.4,17.1,-8.9,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 13:20,0.36,0.36,22.94,461.4,17.2,-8.9,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 13:25,0.36,0.36,22.95,461.4,17.2,-8.9,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 13:30,0.24,0.36,22.78,461.4,17.2,-8.9,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 13:35,0.36,0.36,22.66,461.4,17.2,-8.9,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 13:40,0.36,0.36,22.22,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 13:45,0.24,0.36,21.74,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 13:50,0.24,0.36,21.9,461.4,17.1,-9.0,-2.4,461.4,17.7,-5.0,-1.8
2025-07-20 13:55,0.36,0.36,22.38,461.4,17.1,-9.0,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 14:00,0.36,0.36,21.81,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:05,0.36,0.36,22.04,461.4,17.1,-9.0,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 14:10,0.36,0.36,21.81,460.7,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:15,0.24,0.36,21.62,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:20,0.36,0.36,21.27,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:25,0.36,0.36,21.78,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:30,0.36,0.36,22.32,461.4,17.2,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:35,0.36,0.36,22.3,460.7,17.1,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:40,0.36,0.36,21.55,461.4,17.1,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:45,0.36,0.36,22.97,460.7,17.1,-9.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:50,0.36,0.36,22.82,460.7,17.1,-8.9,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 14:55,0.36,0.36,22.39,460.7,17.1,-8.9,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 15:00,0.36,0.36,22.48,460.7,17.0,-8.9,-2.4,461.4,17.6,-5.1,-1.9
2025-07-20 15:05,0.36,0.36,22.42,460.7,17.2,-8.9,-2.2,461.4,17.6,-5.1,-1.9
2025-07-20 15:10,0.36,0.36,21.92,460.7,17.1,-8.8,-2.3,461.4,17.6,-5.1,-1.9
2025-07-20 15:15,0.36,0.36,22.56,460.7,17.2,-8.8,-2.2,461.4,17.6,-5.1,-1.9
2025-07-20 15:20,0.36,0.36,20.96,460.7,17.3,-8.7,-2.1,461.4,17.6,-5.1,-1.9
2025-07-20 15:25,0.36,0.36,21.17,460.7,17.2,-8.7,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 15:30,0.36,0.36,21.67,460.7,17.2,-8.6,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 15:35,0.36,0.36,21.72,460.7,17.2,-8.6,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 15:40,0.36,0.36,20.59,460.7,17.2,-8.5,-2.2,461.4,17.6,-5.1,-1.9
2025-07-20 15:45,0.36,0.36,21.1,460.7,17.2,-8.5,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 15:50,0.36,0.36,21.33,460.7,17.1,-8.5,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 15:55,0.36,0.36,22.21,460.7,17.2,-8.4,-2.2,461.4,17.8,-5.1,-1.7
2025-07-20 16:00,0.36,0.36,21.62,460.7,17.2,-8.4,-2.2,461.4,17.8,-5.1,-1.7
2025-07-20 16:05,0.36,0.36,20.77,460.7,17.2,-8.4,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:10,0.36,0.0,22.35,460.7,17.2,-8.3,-2.2,461.4,17.8,-5.1,-1.7
2025-07-20 16:15,0.36,0.36,22.68,460.7,17.2,-8.3,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:20,0.36,0.0,21.93,460.7,17.2,-8.3,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:25,0.36,0.36,22.03,460.7,17.2,-8.2,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:30,0.36,0.36,20.2,460.7,17.2,-8.2,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:35,0.36,0.36,20.24,460.7,17.2,-8.2,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:40,0.36,0.36,19.9,460.7,17.2,-8.2,-2.2,461.4,17.8,-5.1,-1.7
2025-07-20 16:45,0.36,0.36,20.82,460.7,17.2,-8.1,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:50,0.36,0.36,21.81,460.7,17.2,-8.0,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 16:55,0.36,0.36,20.57,460.7,17.2,-8.0,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 17:00,0.36,0.36,20.38,460.7,17.1,-8.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 17:05,0.36,0.36,20.84,460.7,17.1,-8.0,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 17:10,0.36,0.36,21.72,460.7,17.2,-8.0,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 17:15,0.36,0.36,21.25,460.7,17.2,-7.9,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 17:20,0.36,0.36,21.4,460.7,17.1,-7.9,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 17:25,0.36,0.36,20.9,460.7,17.2,-7.9,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 17:30,0.36,0.36,20.23,460.7,17.2,-7.9,-2.2,461.4,17.8,-5.1,-1.7
2025-07-20 17:35,0.36,0.36,20.79,460.7,17.2,-7.8,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 17:40,0.36,0.0,21.23,460.7,17.1,-7.8,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 17:45,0.36,0.36,21.69,460.7,17.1,-7.8,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 17:50,0.36,0.36,20.85,460.7,17.1,-7.8,-2.3,461.4,17.8,-5.1,-1.7
2025-07-20 17:55,0.36,0.36,20.59,460.7,17.1,-7.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 18:00,0.36,0.36,21.1,460.0,17.0,-7.7,-2.4,461.4,17.7,-5.1,-1.8
2025-07-20 18:05,0.36,0.36,21.5,460.0,17.1,-7.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 18:10,0.36,0.36,20.97,460.0,17.1,-7.7,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 18:15,0.36,0.36,20.69,460.0,17.1,-7.6,-2.3,461.4,17.7,-5.1,-1.8
2025-07-20 18:20,0.36,0.36,20.35,460.0,17.0,-7.6,-2.4,461.4,17.8,-5.0,-1.7
2025-07-20 18:25,0.36,0.36,20.62,460.0,17.1,-7.6,-2.3,461.4,17.8,-5.0,-1.7
2025-07-20 18:30,0.36,0.36,20.64,460.0,17.1,-7.5,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 18:35,0.36,0.36,20.29,460.0,17.2,-7.5,-2.2,461.4,17.7,-5.1,-1.8
2025-07-20 18:40,0.36,0.36,20.35,460.0,17.1,-7.5,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 18:45,0.36,0.0,20.4,460.0,17.2,-7.5,-2.2,461.4,17.8,-5.0,-1.7
2025-07-20 18:50,0.36,0.36,21.72,460.0,17.2,-7.4,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 18:55,0.36,0.36,20.15,460.0,17.1,-7.4,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 19:00,0.36,0.36,19.99,460.0,17.1,-7.4,-2.3,461.4,17.7,-5.0,-1.8
2025-07-20 19:05,0.36,0.36,19.72,460.0,17.2,-7.4,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 19:10,0.36,0.36,19.77,460.0,17.2,-7.4,-2.2,461.4,17.7,-5.0,-1.8
2025-07-20 19:15,0.36,0.36,20.93,460.0,17.2,-7.4,-2.2,461.4,17.6,-5.0,-1.9
